Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,1,0,AM,07:56,11:00,184.5,30277.24,3,1480 -> 1475 -> 2125
0,1,0,PM,16:22,21:44,321.9,29820.0,1,2340
0,2,2,AM,04:17,13:49,572.3,35244.0,1,195
0,4,2,AM,07:59,10:19,140.0,32307.0,2,353 -> 1935
0,6,7,PM,17:37,18:29,53.0,20874.0,1,3849
0,6,9,PM,22:21,23:12,51.1,32354.7,3,7673 -> 7526 -> 7461
0,6,0,INTER-FACTORY,23:12,23:12,0.0,20759.85999999987,1,TRANSFER_FROM_0_TO_3
0,8,2,AM,07:28,10:38,190.6,23496.0,2,295 -> 303
0,9,0,PM,18:17,19:49,91.4,10953.88,1,401
0,9,0,INTER-FACTORY,19:49,19:49,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,0,AM,08:27,10:32,125.2,29820.0,1,1399
0,10,9,PM,18:25,18:41,16.8,24850.0,1,5690
0,10,0,INTER-FACTORY,18:41,18:41,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,PM,21:58,00:01,123.1,25969.25,4,5605 -> 7192 -> 1530 -> 1231
0,101,2,AM,08:50,17:51,541.6,27412.0,2,391 -> 37
0,102,8,AM,10:33,12:51,137.8,30936.399999999998,1,914
0,102,8,AM,12:52,14:45,112.9,34265.0,1,912
0,102,8,PM,16:30,18:36,126.5,26922.5,1,908
0,102,2,AM,18:25,01:45,439.5,29370.0,1,560
0,102,2,PM,22:16,09:49,693.1,32307.0,1,926
0,103,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,2,AM,06:50,10:32,221.5,35635.6,2,285 -> 318
0,105,2,INTER-FACTORY,10:32,14:32,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,AM,07:09,11:39,269.5,35070.399999999994,2,3821 -> 1712
0,120,6,PM,18:13,22:24,250.7,34538.626000000004,3,2040 -> 712 -> 3607
0,120,6,PM,22:25,01:15,170.7,34784.5,1,1791
0,121,5,PM,19:25,20:01,36.4,19312.15,3,3632 -> 52 -> 8021
0,122,8,AM,07:18,08:20,61.9,24964.5,2,1664 -> 769
0,122,2,PM,17:16,21:24,248.3,27901.5,2,780 -> 1570
0,123,2,AM,07:00,12:07,306.4,36174.05,4,19 -> 64 -> 42 -> 122
0,124,6,PM,19:40,20:33,53.2,28113.5,2,7577 -> 7166
0,125,6,AM,07:24,10:24,180.0,34243.195999999996,4,1631 -> 5851 -> 3341 -> 3735
0,126,6,PM,17:06,20:18,192.3,35261.0,2,3822 -> 1652
0,126,6,PM,20:42,23:03,140.5,28113.499999999996,3,838 -> 2607 -> 2967
0,127,9,PM,18:45,19:21,36.6,7952.0,1,7641
0,127,7,PM,19:47,21:12,85.0,24452.4,1,1803
0,128,8,AM,08:52,09:14,22.0,32307.0,1,808
0,128,1,PM,20:35,21:53,77.9,33971.3,4,551 -> 595 -> 1523 -> 1521
0,129,9,PM,18:47,19:19,31.8,15407.0,1,7449
0,129,7,PM,21:16,21:34,17.9,1789.2,1,7213
0,131,6,PM,20:18,20:57,39.1,6528.049999999999,1,874
0,387,8,AM,07:50,08:16,26.9,39355.799999999996,1,820
0,387,8,INTER-FACTORY,08:16,11:36,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387,2,INTER-FACTORY,11:36,15:36,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388,8,AM,07:41,11:08,206.9,38768.4,2,894 -> 909
0,388,8,INTER-FACTORY,11:08,14:27,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388,2,INTER-FACTORY,14:27,18:28,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,400,2,AM,07:42,13:54,372.3,29370.0,1,239
0,400,8,INTER-FACTORY,13:54,17:13,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,400,2,INTER-FACTORY,17:13,21:14,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,402,2,AM,07:33,09:33,119.7,18601.0,1,352
0,402,8,INTER-FACTORY,09:33,12:52,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,402,2,INTER-FACTORY,12:52,16:52,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,403,8,AM,08:26,09:16,49.5,32600.7,3,1525 -> 731 -> 716
0,821,10,PM,20:01,21:16,74.5,32740.5,3,4049 -> 5022 -> 1594
0,823,8,AM,08:19,10:23,124.4,32600.699999999997,3,834 -> 1068 -> 920_onfly_part3
0,823,8,PM,17:37,18:29,51.4,27412.0,1,1071
0,823,2,PM,19:03,00:00,297.1,27412.0,2,196 -> 186_onfly_part2
0,824,2,AM,07:11,12:31,319.3,32992.3,3,204 -> 750 -> 463
0,824,2,PM,19:03,22:39,216.4,28391.0,2,161 -> 186_onfly_part3
0,826,11,AM,07:17,10:30,193.1,32360.9,3,9915 -> 3106 -> 6006
0,826,11,PM,17:02,20:19,197.0,34638.5,3,4063 -> 2111 -> 160
0,827,5,AM,07:50,09:08,78.2,32266.0,3,6043 -> 6036 -> 336
0,827,10,PM,20:53,21:13,20.2,31506.8,1,1597
0,828,0,PM,19:43,22:07,144.4,35187.6,2,1000 -> 13101
0,829,8,AM,07:38,08:54,76.5,36223.0,2,845 -> 756
0,830,5,PM,17:27,21:27,239.8,34543.6,5,4851 -> 2046 -> 2058 -> 4368 -> 6047
0,832,7,AM,06:47,09:35,168.2,35485.8,2,7122 -> 3851
0,832,0,PM,17:25,18:57,92.0,29621.2,3,5581 -> 5863 -> 746
0,880,11,INTER-FACTORY,00:00,01:28,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,881,6,PM,16:41,22:32,351.6,29543.0,2,1741 -> 2884
0,900,6,AM,13:48,14:02,14.5,26207.5,1,7279
0,900,6,AM,14:23,15:19,55.3,15057.399999999998,3,7319 -> 656 -> 7091
0,900,6,PM,16:41,20:29,227.7,35737.5,2,3826 -> 1793
0,901,8,AM,08:27,08:56,29.4,36223.0,2,1655 -> 1654
0,902,0,PM,19:02,20:18,75.1,34442.1,3,1232 -> 1358 -> 1394
0,902,0,INTER-FACTORY,20:18,20:18,0.0,36150.0,1,TRANSFER_FROM_0_TO_3
0,904,11,INTER-FACTORY,00:00,01:28,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,905,11,AM,07:53,09:16,83.8,37011.0,3,5321 -> 8461 -> 6037
