Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,1,7,AM,09:34,11:32,117.3,29820.0,1,7245
0,3,0,PM,17:31,19:14,102.2,27832.0,2,5586 -> 5584
0,6,7,PM,17:37,18:37,60.4,32802.0,2,3849 -> 7156
0,6,9,PM,22:21,22:53,32.4,15407.0,2,5520 -> 7526
0,6,0,INTER-FACTORY,22:53,22:53,0.0,36000.0,1,TRANSFER_FROM_0_TO_3
0,7,2,AM,06:15,14:01,465.7,27169.0,2,79 -> 77
0,9,7,AM,07:28,10:38,189.8,36281.0,1,7118
0,9,0,INTER-FACTORY,10:38,10:38,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,9,PM,18:25,18:41,16.8,24850.0,1,5690
0,10,0,PM,19:19,20:03,43.8,14711.2,1,229
0,10,0,INTER-FACTORY,20:03,20:03,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,AM,10:10,12:06,115.3,21238.1,2,7698 -> 7154
0,102,2,PM,00:14,11:48,693.1,33330.0,1,926
0,102,8,AM,09:05,10:01,55.5,32320.0,1,1661
0,102,8,AM,10:02,11:42,100.2,30300.0,1,760
0,102,8,AM,11:43,13:08,85.5,25250.0,1,756
0,102,8,AM,13:09,14:42,92.6,31310.0,1,1662
0,102,8,PM,16:09,18:27,137.8,31916.0,1,914
0,102,2,AM,18:22,00:23,361.3,30300.0,1,249
0,102,8,PM,18:28,19:24,55.7,31310.0,1,1657
0,103,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,8,PM,17:13,20:00,166.9,38885.0,2,909 -> 920_onfly_part4
0,104,2,INTER-FACTORY,20:00,00:01,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,AM,07:17,11:05,228.8,33532.0,2,320 -> 297
0,106,2,INTER-FACTORY,11:05,15:06,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,AM,11:00,13:59,178.9,35557.0,1,3842
0,120,6,PM,20:45,23:22,156.9,25466.5,3,2129 -> 2079 -> 5851
0,120,6,PM,23:23,01:39,135.7,30367.6,1,7169
0,121,11,AM,06:45,09:07,141.5,30442.0,1,4085
0,121,5,PM,19:25,19:41,16.2,8347.0,1,8021
0,122,8,AM,07:44,08:35,51.3,35148.0,2,834 -> 1655
0,122,2,AM,10:13,15:03,289.6,36360.0,1,195
0,123,2,AM,06:53,11:15,262.5,34794.5,4,45 -> 41 -> 122 -> 157
0,124,6,AM,06:28,10:15,227.7,36037.5,2,3826 -> 1793
0,125,6,PM,20:31,23:57,206.1,35364.8,2,3607 -> 838
0,126,6,PM,17:06,20:44,218.0,35557.0,2,1652 -> 1730
0,127,0,AM,16:18,16:43,24.8,4970.0,1,228
0,127,9,PM,18:45,20:32,107.3,25247.6,4,7641 -> 1291 -> 1002 -> 7625
0,128,8,AM,08:52,09:14,22.0,33330.0,1,808
0,128,1,PM,20:35,21:53,77.9,35047.0,4,551 -> 595 -> 1523 -> 1521
0,129,9,PM,18:47,19:19,31.8,15407.0,1,7449
0,386,2,PM,16:33,20:32,238.6,32320.0,3,290_onfly_part4 -> 290_onfly_part3 -> 318
0,387,8,AM,08:13,11:32,199.2,36360.0,3,920_onfly_part1 -> 856 -> 845
0,387,8,AM,14:14,16:00,106.1,12120.0,1,907_onfly_part2
0,387,8,INTER-FACTORY,16:00,19:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387,2,INTER-FACTORY,19:19,23:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388,2,AM,07:42,13:54,372.3,30300.0,1,239
0,388,8,INTER-FACTORY,13:54,17:13,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388,2,INTER-FACTORY,17:13,21:14,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,391,11,PM,15:54,19:57,242.9,32406.0,2,6054 -> 6056
0,400,2,AM,07:33,09:33,119.7,19190.0,1,352
0,400,8,INTER-FACTORY,09:33,12:52,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,400,2,INTER-FACTORY,12:52,16:52,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,402,2,AM,06:29,08:37,128.2,21210.0,1,353
0,402,8,INTER-FACTORY,08:37,11:56,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,402,2,INTER-FACTORY,11:56,15:57,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,603,7,PM,18:55,20:09,73.8,34193.6,3,3851 -> 7213 -> 3404
0,603,0,INTER-FACTORY,20:09,20:09,0.0,25115.259999999893,1,TRANSFER_FROM_0_TO_3
0,822,0,AM,07:27,09:08,100.9,31410.4,2,3850 -> 3752
0,822,0,PM,18:10,21:01,171.3,34044.5,3,2231 -> 2534 -> 159
0,823,8,AM,07:54,08:44,49.3,34340.0,2,731 -> 1664
0,823,8,AM,08:47,10:36,108.9,33330.0,2,1068 -> 908
0,823,8,AM,10:37,11:42,64.8,31310.0,1,1665
0,823,2,AM,13:33,14:07,34.1,12120.0,1,1570
0,823,2,PM,19:03,22:10,187.5,24240.0,2,186_onfly_part1 -> 186_onfly_part2
0,824,2,AM,07:11,10:55,223.2,30300.0,1,560
0,824,2,PM,19:03,23:35,272.7,34340.0,2,53 -> 186_onfly_part3
0,825,6,PM,18:54,05:27,633.2,31594.5,2,5605 -> 1660
0,826,11,PM,17:02,20:12,190.1,31325.8,2,6066 -> 2111
0,827,11,AM,14:15,17:28,192.4,15417.4,2,9591 -> 6083
0,827,10,PM,20:53,21:13,20.2,32602.399999999998,1,1597
0,828,0,PM,19:43,19:57,14.6,15705.2,1,1213
0,829,2,PM,17:40,20:04,144.5,30300.0,2,510 -> 441
0,830,10,AM,07:45,10:31,165.8,32602.4,4,6022 -> 2222 -> 3907 -> 1594
0,830,5,PM,17:48,19:29,101.0,29263.6,5,6047 -> 6043 -> 4851 -> 4731 -> 5245
0,832,0,PM,19:16,06:52,695.8,33298.0,2,2334 -> 1663
0,880,10,AM,10:10,10:56,45.6,11784.0,1,4071
0,880,11,INTER-FACTORY,10:56,12:24,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,881,6,PM,16:41,22:32,351.6,36518.0,2,1651 -> 1741
0,900,6,AM,00:00,02:00,120.9,15952.599999999999,1,2607
0,900,6,AM,06:36,09:27,170.7,35076.5,1,1791
0,901,2,PM,17:41,19:03,81.9,31007.0,3,422 -> 463 -> 444
0,902,0,INTER-FACTORY,04:15,04:15,0.0,36150.0,1,TRANSFER_FROM_0_TO_3
0,902,0,AM,08:21,10:08,106.2,35346.64,4,113 -> 2503 -> 2527 -> 2119
0,902,0,PM,18:24,18:42,17.4,3280.2,1,1055
0,902,0,PM,19:02,20:23,80.7,32066.440000000002,3,1480 -> 1394 -> 1000
0,902,7,PM,21:16,04:15,419.1,29670.9,3,7362 -> 7203 -> 3846
0,903,2,AM,08:21,10:23,121.3,36158.0,3,285 -> 327 -> 391
0,903,2,PM,18:24,20:20,115.6,34744.0,2,280 -> 1527
0,904,10,AM,07:42,09:24,102.4,11882.199999999999,1,2717
0,904,11,INTER-FACTORY,09:24,10:53,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,907,6,AM,04:58,11:16,377.9,39401.0,2,1761 -> 1765
0,907,6,PM,17:10,23:25,374.7,34692.1,4,1712 -> 5868 -> 3270 -> 1631
0,910,8,AM,08:24,10:15,110.6,33330.0,2,1551 -> 920_onfly_part3
0,912,8,PM,17:31,18:14,43.4,34845.0,2,1654 -> 780
0,913,11,INTER-FACTORY,00:00,01:28,88.7,42500.0,1,TRANSFER_FROM_11_TO_5
0,914,6,AM,03:37,13:22,584.8,37382.9,3,3839 -> 7774 -> 3825
0,914,6,PM,15:08,21:21,372.7,40362.0,2,1744 -> 1014
0,1222,0,PM,19:06,20:32,85.9,35287.0,2,993 -> 1283
0,1333,9,AM,09:52,10:14,21.5,9940.0,1,7673
0,1444,9,PM,20:04,20:32,27.2,11928.0,1,7529
0,2222,4,AM,07:30,14:08,397.8,34340.0,2,850 -> 488
0,2333,8,AM,07:15,08:51,95.7,28280.0,1,1071
0,2444,2,AM,08:22,12:11,229.5,30704.0,3,304 -> 294 -> 289
0,3222,0,AM,06:07,10:10,243.2,28329.0,2,2055 -> 3852
0,3222,0,PM,16:45,18:28,102.7,25048.8,1,5860
0,3222,0,PM,19:18,20:31,73.0,19880.0,1,5582
0,3333,7,PM,19:54,22:47,172.2,34392.4,2,7157 -> 1803
0,3444,0,AM,07:20,11:16,235.9,19880.0,1,13101
0,4333,8,AM,07:14,09:01,106.5,34845.0,2,750 -> 716
0,5222,1,AM,09:00,12:41,220.7,30906.0,2,534 -> 1524
0,5333,8,AM,07:44,10:01,136.6,25250.0,1,913
0,6222,0,AM,09:19,11:01,101.4,25347.0,2,2312 -> 2234
0,6333,0,AM,08:06,09:19,72.5,33299.0,2,930 -> 7648
0,8222,2,AM,05:32,12:00,387.7,30300.0,1,521
0,8444,8,AM,07:23,09:08,105.3,34845.0,3,755 -> 769 -> 783
0,9222,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,9333,9,PM,20:03,20:38,34.8,12120.0,1,7678_onfly_part1
0,9333,0,INTER-FACTORY,20:38,20:38,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,9444,0,AM,07:27,09:16,108.3,29024.8,2,643 -> 629
0,9444,9,PM,20:04,20:39,34.8,12120.0,1,7678_onfly_part2
0,9444,0,INTER-FACTORY,20:39,20:39,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10222,0,AM,06:52,08:57,125.7,37672.6,3,544 -> 5515 -> 715
0,10222,0,INTER-FACTORY,08:57,08:57,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10333,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10444,7,PM,17:39,22:24,285.1,39263.0,2,7131 -> 3853
0,10444,0,INTER-FACTORY,22:24,22:24,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11222,6,AM,06:19,10:33,253.6,26478.433,5,3827 -> 279 -> 2716 -> 7599 -> 7770
0,11444,6,PM,20:52,00:06,194.2,25226.25,5,7091 -> 656 -> 874 -> 7634 -> 3680
0,103222,8,AM,08:23,10:43,140.0,33330.0,1,915
0,103222,2,INTER-FACTORY,10:43,14:44,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,103333,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,103444,8,AM,07:50,08:30,40.9,28482.0,3,820_onfly_part4 -> 820_onfly_part2 -> 820_onfly_part1
0,104222,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104333,8,AM,09:13,09:53,40.7,30300.0,1,812
0,104333,2,INTER-FACTORY,09:53,13:54,240.6,16562.0,1,TRANSFER_FROM_2_TO_1
0,104444,8,AM,07:50,10:12,142.7,36360.0,2,918 -> 820_onfly_part3
0,105222,2,AM,06:27,09:50,202.2,38380.0,2,1576 -> 295
0,105222,2,INTER-FACTORY,09:50,13:50,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105333,8,AM,08:37,10:29,112.9,35350.0,1,912
0,106222,8,AM,08:54,12:26,211.9,37976.0,3,919 -> 894 -> 837
0,106222,2,INTER-FACTORY,12:26,16:27,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107222,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107444,9,AM,08:01,08:49,48.9,33412.0,3,7678_onfly_part3 -> 7678_onfly_part4 -> 7613
0,120222,6,PM,19:06,21:51,165.5,30944.199999999997,3,5002 -> 3609 -> 54
0,120333,6,AM,07:42,10:12,150.1,33442.8,3,7113 -> 3016 -> 1757
0,120333,6,PM,17:28,20:56,208.1,33635.0,2,1650 -> 3610
0,120444,6,AM,07:59,10:51,171.3,34596.0,2,3835 -> 102
0,120444,6,PM,18:21,21:01,159.7,33971.35,3,2726 -> 1794 -> 3577
0,121222,11,AM,08:24,14:42,377.8,33682.6,3,9621 -> 3207 -> 6044
0,121222,11,PM,16:11,20:07,236.4,35352.0,2,6599 -> 4086
0,121333,11,AM,05:58,12:36,397.8,30442.0,3,6086 -> 3206 -> 3308
0,121333,11,PM,19:55,23:05,190.2,35843.0,2,6059 -> 1501
0,121444,10,AM,06:26,10:45,259.0,33388.0,2,3108 -> 3113
0,121444,11,PM,20:58,00:00,182.6,34743.159999999996,3,3844 -> 453 -> 6062
0,122222,8,AM,08:26,09:47,81.1,32724.0,2,787 -> 866
0,122222,2,PM,19:03,22:39,216.4,29290.0,2,161 -> 186_onfly_part4
0,122333,2,AM,08:17,10:24,127.2,36360.0,3,290_onfly_part1 -> 290_onfly_part2 -> 1935
0,122333,2,PM,18:33,21:41,188.5,36360.0,3,182_onfly_part2 -> 182_onfly_part1 -> 182_onfly_part4
0,123222,2,PM,19:03,22:54,230.9,36360.0,2,150 -> 186_onfly_part5
0,123444,2,PM,17:21,19:01,99.9,33330.0,1,291
0,124222,6,PM,17:07,19:40,152.3,33346.7,2,3843 -> 7891
0,124444,6,AM,07:12,10:35,203.3,33490.85,3,3822 -> 7787 -> 7319
0,125333,6,AM,06:37,09:29,172.4,28830.0,1,1727
0,125444,6,PM,17:29,18:44,75.9,24025.0,2,585 -> 1639
0,125444,6,PM,20:47,23:15,148.7,35124.549999999996,4,1312 -> 3029 -> 1530 -> 7192
0,126222,6,PM,19:21,23:13,232.0,35364.799999999996,3,5844 -> 3829 -> 3608
0,126333,6,PM,20:48,00:18,209.9,34740.15,4,3460 -> 2386 -> 1375 -> 3484
0,127222,0,AM,08:58,11:32,154.7,16898.0,4,2364 -> 2292 -> 2053 -> 5442
0,127333,0,AM,08:48,09:18,30.4,12027.4,1,147
0,128222,2,AM,14:24,15:32,68.1,32118.0,2,1289 -> 346
0,128333,8,PM,18:24,19:55,90.8,36360.0,2,920_onfly_part2 -> 1659
0,129333,0,PM,18:50,20:23,92.7,18886.0,2,409 -> 2528
0,129444,0,AM,10:03,11:04,61.5,22464.4,2,625 -> 5581
0,130444,5,PM,20:12,20:45,32.2,6481.2,2,7710 -> 342
0,131222,6,AM,08:54,12:10,196.3,17105.8,2,1231 -> 2648
0,387222,8,AM,06:56,09:10,134.1,30300.0,1,916
0,387222,8,INTER-FACTORY,09:10,12:29,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387222,2,INTER-FACTORY,12:29,16:30,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,387333,2,AM,06:35,11:31,296.7,32320.0,1,241
0,387333,8,INTER-FACTORY,11:31,14:50,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387333,2,INTER-FACTORY,14:50,18:51,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,387444,2,AM,08:14,10:06,112.3,26260.0,3,358_onfly_part1 -> 358_onfly_part5 -> 358_onfly_part2
0,387444,8,INTER-FACTORY,10:06,13:25,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387444,2,INTER-FACTORY,13:25,17:26,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388222,8,AM,15:24,17:10,106.1,4040.0,1,907_onfly_part4
0,388222,8,INTER-FACTORY,17:10,20:29,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388222,2,INTER-FACTORY,20:29,00:30,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388333,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388333,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388444,8,INTER-FACTORY,00:00,03:19,199.0,38345.0,1,TRANSFER_FROM_8_TO_1
0,388444,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,391333,8,AM,09:06,10:21,74.8,34138.0,3,847 -> 1656 -> 1525
0,391444,2,AM,08:52,13:14,262.1,30300.0,1,212
0,400222,2,AM,04:58,07:08,129.2,33330.0,1,452
0,400222,8,AM,12:50,14:43,113.1,24240.0,2,907_onfly_part1 -> 907_onfly_part3
0,400222,8,INTER-FACTORY,14:43,18:02,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
