Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,6,0,INTER-FACTORY,00:12,00:12,0.0,16103.780000000028,1,TRANSFER_FROM_0_TO_3
0,6,7,AM,08:14,09:52,98.4,35989.0,1,7118
0,6,9,PM,22:21,00:12,111.4,34707.2,4,7673 -> 5520 -> 7526 -> 878
0,8,2,AM,08:07,11:18,190.3,31790.0,2,1526 -> 352
0,9,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,9,AM,08:01,08:35,34.8,39440.0,1,7678
0,10,0,PM,17:36,18:30,54.9,15529.5,1,107
0,10,0,PM,19:06,20:49,103.5,36777.8,3,229 -> 643 -> 715
0,10,0,INTER-FACTORY,20:49,20:49,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,AM,10:10,11:03,52.4,25536.0,2,7154 -> 54
0,102,2,PM,02:36,04:45,128.2,19635.0,1,353
0,102,2,PM,04:46,10:47,361.3,28050.0,1,249
0,102,8,AM,08:44,09:22,37.0,30855.0,1,808
0,102,8,AM,11:44,12:17,33.7,16830.0,1,1654
0,102,8,AM,12:18,13:14,55.7,28985.0,1,1657
0,102,8,AM,13:15,14:40,85.5,23375.0,1,756
0,102,8,PM,18:13,18:53,40.7,28050.0,1,812
0,102,8,PM,20:36,22:56,140.0,30855.0,1,915
0,103,8,AM,07:50,08:16,26.9,37587.0,1,820
0,103,8,AM,11:10,12:56,106.1,37400.0,1,907
0,103,2,INTER-FACTORY,12:56,16:57,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,8,AM,06:56,09:32,156.0,37213.0,2,918 -> 834
0,105,2,INTER-FACTORY,09:32,13:32,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,PM,00:29,03:20,171.3,34560.0,2,102 -> 3835
0,120,6,AM,07:09,10:20,190.6,33888.0,3,5851 -> 1712 -> 1766
0,120,6,AM,10:21,13:05,164.3,32160.0,1,1695
0,120,6,PM,18:46,21:35,169.1,35464.32,5,712 -> 2079 -> 585 -> 2129 -> 838
0,120,6,PM,21:36,23:32,115.8,16608.0,2,1312 -> 1530
0,122,8,AM,07:14,08:29,74.7,35062.5,2,1664 -> 750
0,123,2,AM,06:50,10:56,245.3,35249.5,2,164 -> 286
0,124,6,AM,06:28,09:20,172.3,34560.0,2,2884 -> 2863
0,124,6,PM,16:11,21:06,294.9,31680.0,2,3824 -> 3839
0,125,6,AM,07:28,10:32,184.0,35550.72,5,3341 -> 1375 -> 3484 -> 1760 -> 2442
0,125,6,PM,17:49,20:34,164.4,28224.0,2,3582 -> 1732
0,126,6,PM,17:12,20:43,211.6,34771.2,3,1652 -> 3834 -> 3577
0,127,0,PM,00:32,01:16,44.2,20706.0,1,5584
0,127,0,AM,16:18,16:43,24.8,4930.0,1,228
0,127,7,PM,21:49,22:54,65.2,26622.0,1,3853
0,127,9,PM,23:20,23:52,32.2,14839.3,1,7461
0,128,1,PM,20:35,21:53,77.9,32444.5,4,551 -> 595 -> 1523 -> 1521
0,129,9,PM,18:47,19:19,31.8,15283.0,1,7449
0,131,6,PM,20:18,21:13,55.2,14832.0,3,656 -> 874 -> 7319
0,387,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,391,2,AM,07:33,10:47,194.5,32676.0,3,186_onfly_part3 -> 186_onfly_part5 -> 186_onfly_part1
0,400,2,AM,07:42,14:06,383.9,38335.0,2,239 -> 277
0,400,8,INTER-FACTORY,14:06,17:25,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,400,2,INTER-FACTORY,17:25,21:25,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,402,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,402,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,403,2,PM,18:01,22:56,295.4,28050.0,1,197
0,603,0,AM,08:16,09:48,91.9,33425.4,4,1021 -> 1346 -> 1000 -> 5848
0,603,7,PM,18:55,01:43,407.8,34904.4,3,7213 -> 3404 -> 3846
0,821,11,PM,16:44,19:49,185.2,33520.2,3,6066 -> 6049 -> 9591
0,821,10,PM,20:01,20:43,42.0,20769.0,2,4071 -> 1594
0,822,0,AM,13:33,14:49,76.1,27509.4,3,5193 -> 5742 -> 625
0,822,0,PM,17:41,20:36,174.8,35446.7,2,2340 -> 2534
0,823,2,AM,09:41,14:18,276.5,34922.25,3,34 -> 122 -> 1289
0,824,2,AM,07:11,11:02,230.2,30107.0,2,204 -> 560
0,824,2,PM,19:03,00:23,320.1,31347.0,3,422 -> 186_onfly_part2 -> 19
0,827,11,PM,18:08,20:03,115.3,29463.0,2,6019 -> 6037
0,827,10,PM,20:53,21:13,20.2,32071.2,1,1597
0,829,8,AM,07:53,08:29,35.8,34501.5,2,787 -> 716
0,829,2,PM,17:37,18:59,82.6,31790.0,4,1570 -> 396 -> 385 -> 441
0,830,10,AM,08:08,09:25,77.1,22314.6,2,2717 -> 5022
0,832,7,AM,06:47,12:31,343.8,33228.2,2,3859 -> 7122
0,832,0,PM,19:16,20:43,86.8,32538.0,2,1475 -> 3850
0,880,11,INTER-FACTORY,00:00,01:28,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,900,6,AM,00:00,02:00,120.9,15936.0,1,2607
0,900,6,AM,06:36,09:38,181.7,36000.0,2,3607 -> 7787
0,902,0,PM,19:04,20:28,83.9,31009.699999999997,3,1253 -> 5420 -> 1394
0,902,0,INTER-FACTORY,20:28,20:28,0.0,36150.0,1,TRANSFER_FROM_0_TO_3
0,903,2,AM,08:32,09:56,83.8,30855.0,3,1569 -> 382 -> 391
0,903,2,PM,18:24,19:53,88.7,34969.0,2,452 -> 1527
0,904,11,INTER-FACTORY,00:00,01:28,88.7,41500.0,1,TRANSFER_FROM_11_TO_5
0,905,5,PM,18:09,19:14,65.5,36997.8,3,6043 -> 6036 -> 6047
0,906,6,AM,06:20,11:18,298.5,38160.0,2,3610 -> 2726
0,906,6,PM,18:06,20:59,172.7,21120.0,2,1102 -> 3029
0,907,6,AM,04:58,11:15,377.0,38496.0,2,1811 -> 1761
0,907,6,PM,17:10,19:56,166.2,7296.0,1,1631
0,910,2,PM,19:03,22:17,194.7,35136.0,3,182_onfly_part4 -> 182_onfly_part2 -> 186_onfly_part4
0,912,8,PM,17:39,18:35,55.5,29452.5,2,755 -> 780
0,913,11,AM,08:43,11:43,179.5,41538.0,3,3844 -> 6044 -> 1501
0,913,11,INTER-FACTORY,11:43,13:12,88.7,42500.0,1,TRANSFER_FROM_11_TO_5
0,1444,0,PM,20:04,20:27,22.3,15578.8,1,1213
0,2444,2,AM,08:22,11:52,209.8,31696.5,2,1576 -> 294
0,3222,0,AM,06:07,10:26,259.2,31453.4,3,2055 -> 3852 -> 2828
0,3222,0,PM,17:18,19:17,118.8,34707.200000000004,3,5515 -> 544 -> 746
0,3333,0,AM,07:20,11:23,242.9,35003.0,2,13105 -> 13101
0,3444,0,AM,06:05,10:44,279.0,35791.8,3,2053 -> 3847 -> 3848
0,4222,8,AM,09:05,10:45,99.5,34127.5,2,1656 -> 1551
0,5333,8,AM,07:44,08:22,37.7,25245.0,1,1660
0,6222,0,AM,09:19,11:45,146.0,31118.16,5,409 -> 2527 -> 2848 -> 2234 -> 2503
0,6333,0,AM,08:06,09:38,92.3,33918.4,3,930 -> 1295 -> 1197
0,6333,0,PM,18:27,20:23,116.1,35003.0,3,5413 -> 2528 -> 2119
0,7333,1,AM,08:17,10:06,108.8,26180.0,2,510 -> 534
0,9222,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,9333,0,AM,15:29,16:30,60.7,11832.0,1,1252
0,9333,0,INTER-FACTORY,16:30,16:30,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,9444,7,AM,09:34,11:32,117.3,29580.0,1,7245
0,9444,0,INTER-FACTORY,11:32,11:32,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10222,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
