Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,2,2,AM,04:17,13:49,572.3,35208.0,1,195
0,5,2,AM,08:34,11:44,189.4,31296.0,2,353 -> 277
0,6,9,PM,22:21,23:38,77.7,33131.5,4,7673 -> 5520 -> 7526 -> 7641
0,6,0,INTER-FACTORY,23:38,23:38,0.0,13009.410000000149,1,TRANSFER_FROM_0_TO_3
0,9,9,AM,08:19,08:47,28.7,17802.0,1,7613
0,9,9,AM,08:48,09:23,34.8,39560.0,1,7678
0,9,0,INTER-FACTORY,09:23,09:23,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,0,PM,17:36,18:30,54.9,15576.75,1,107
0,10,0,INTER-FACTORY,18:30,18:30,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,AM,10:17,14:18,240.6,25275.249999999996,4,7634 -> 3827 -> 279 -> 7599
0,11,6,PM,21:58,23:24,85.9,25475.449999999997,3,7192 -> 1530 -> 2442
0,102,8,PM,00:27,01:22,55.5,31296.0,1,1661
0,102,8,PM,01:23,02:04,40.7,29340.0,1,812
0,102,8,PM,02:05,03:41,95.7,27384.0,1,1071
0,102,8,PM,03:42,05:50,128.3,31296.0,1,909
0,102,8,AM,08:23,10:43,140.0,32274.0,1,915
0,102,8,AM,11:41,13:13,92.6,30318.0,1,1662
0,102,8,AM,13:14,13:47,33.1,21418.2,1,787
0,102,2,PM,14:19,20:47,387.7,29340.0,1,521
0,102,2,AM,17:27,22:24,296.7,31296.0,1,241
0,102,2,AM,22:25,04:37,372.3,29340.0,1,239
0,103,2,AM,08:01,11:26,205.6,35403.6,3,303 -> 297 -> 296
0,103,2,INTER-FACTORY,11:26,15:27,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,AM,07:09,10:20,190.7,28528.5,3,3270 -> 5868 -> 1712
0,120,6,AM,10:23,13:07,164.3,33533.49999999999,1,1695
