Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,1,9,AM,07:19,07:47,28.1,30809.999999999996,1,5678
0,1,7,AM,08:38,11:27,168.7,30809.999999999996,1,5697
0,2,8,AM,08:37,10:29,112.9,34720.0,1,912
0,3,7,AM,01:45,14:28,763.0,33890.99999999999,2,3846 -> 7156
0,5,2,AM,08:34,11:44,189.4,31744.0,2,353 -> 277
0,6,9,PM,22:21,23:04,43.8,33891.0,2,7641 -> 5690
0,6,0,INTER-FACTORY,23:04,23:04,0.0,36000.0,1,TRANSFER_FROM_0_TO_3
0,8,2,AM,07:31,10:43,191.8,31744.0,2,303 -> 318
0,9,7,AM,07:28,10:38,189.8,37485.5,1,7118
0,9,0,INTER-FACTORY,10:38,10:38,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,101,2,AM,04:17,13:49,572.3,35712.0,1,195
0,102,8,PM,02:00,03:40,100.2,29760.0,1,760
0,102,8,PM,03:41,04:19,37.7,26784.0,1,1660
0,102,8,PM,04:20,05:15,55.5,31744.0,1,1661
0,102,8,PM,05:16,05:49,33.1,21724.8,1,787
0,102,1,AM,12:47,13:30,42.9,17062.4,2,1521 -> 551
0,102,2,AM,15:31,22:25,414.0,29760.0,1,193
0,102,2,PM,16:44,18:29,105.3,24800.0,2,358_onfly_part2 -> 358_onfly_part4
0,102,2,PM,18:30,20:15,105.3,24800.0,2,358_onfly_part1 -> 358_onfly_part3
0,102,8,PM,23:39,01:59,140.0,32736.0,1,915
0,103,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,8,PM,17:13,20:00,166.9,35712.0,2,1657 -> 920_onfly_part4
0,104,2,INTER-FACTORY,20:00,00:01,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,PM,01:15,03:31,135.7,32927.200000000004,1,7169
0,120,6,AM,09:12,11:56,164.3,34907.0,1,1695
0,120,6,AM,11:57,12:12,14.5,28655.0,1,7279
0,120,6,PM,18:13,20:36,143.0,32137.364,4,2040 -> 2607 -> 712 -> 2129
0,120,6,PM,22:46,01:14,148.1,31260.0,1,3610
0,121,11,AM,06:22,08:44,141.5,30287.0,1,4085
0,123,2,AM,06:50,11:56,306.1,35712.0,2,2 -> 150
0,124,6,AM,06:28,09:29,181.1,34386.0,2,3838 -> 5851
0,125,6,PM,20:31,21:35,63.4,7606.6,1,838
0,126,6,AM,06:37,09:29,172.4,31260.0,1,1727
0,126,6,PM,22:34,23:17,42.7,16411.5,2,7192 -> 2442
0,127,0,AM,16:18,16:43,24.8,5135.0,1,228
0,127,9,PM,18:45,19:13,27.9,16280.0,2,7678_onfly_part4 -> 7678_onfly_part3
0,127,0,PM,19:52,20:33,40.9,26856.049999999996,2,1232 -> 1055
0,127,7,PM,21:24,22:11,47.1,20540.0,1,3851
0,128,8,AM,08:52,09:14,22.0,32736.0,1,808
0,128,1,PM,20:35,22:07,92.2,27280.0,3,534 -> 595 -> 1523
0,130,11,AM,08:54,09:12,17.9,14655.0,1,1501
