Instance ID,Truck ID,Depot,Shift,Start Time,End Time,Duration (min),Load (kg),Stops Count,Route Sequence
0,1,0,AM,07:20,10:01,161.0,32399.96,3,1480 -> 1475 -> 1394
0,1,7,AM,12:03,14:00,117.3,29580.0,1,7245
0,3,7,AM,01:45,14:28,763.0,32538.0,2,3846 -> 7156
0,3,0,PM,17:26,18:40,73.6,6902.0,1,5586
0,6,0,INTER-FACTORY,00:54,00:54,0.0,36000.0,1,TRANSFER_FROM_0_TO_3
0,6,0,AM,08:13,09:14,61.1,26622.0,3,7625 -> 3848 -> 1197
0,6,9,PM,22:21,00:54,153.2,33425.399999999994,3,7213 -> 1803 -> 7526
0,8,2,AM,07:28,10:56,208.5,35122.0,3,295 -> 318 -> 391
0,9,0,INTER-FACTORY,00:00,00:00,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,10,9,AM,08:01,08:35,34.8,39440.0,1,7678
0,10,0,PM,17:36,18:30,54.9,15529.5,1,107
0,10,0,INTER-FACTORY,18:30,18:30,0.0,39700.0,1,TRANSFER_FROM_0_TO_3
0,11,6,PM,21:58,00:13,134.9,25833.199999999997,3,7192 -> 1530 -> 7698
0,101,2,AM,08:50,15:58,428.5,26754.699999999997,2,490 -> 1524
0,102,2,PM,00:22,03:34,192.8,34089.0,1,291
0,102,2,PM,03:35,09:37,361.3,30989.999999999996,1,249
0,102,8,AM,03:45,04:22,37.0,34089.0,1,808
0,102,8,AM,07:28,08:46,78.1,28717.399999999994,2,783 -> 834
0,102,8,AM,10:14,12:56,162.3,32539.5,2,908 -> 907_onfly_part4
0,102,8,AM,12:57,14:13,75.7,32022.999999999996,1,1663
0,102,8,PM,17:13,20:00,166.7,24791.999999999996,2,920_onfly_part1 -> 920_onfly_part2
0,102,2,AM,17:53,00:05,372.3,30989.999999999996,1,239
0,102,8,PM,20:43,22:18,95.7,28923.999999999996,1,1071
0,103,2,AM,08:01,11:20,199.1,35122.0,2,304 -> 303
0,103,2,INTER-FACTORY,11:20,15:20,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,104,8,PM,17:13,20:11,178.2,38220.99999999999,2,920_onfly_part3 -> 913
0,104,2,INTER-FACTORY,20:11,00:12,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,105,2,AM,07:09,11:05,236.7,34192.299999999996,2,285 -> 297
0,105,2,INTER-FACTORY,11:05,15:06,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,106,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,107,2,INTER-FACTORY,00:00,04:00,240.6,39000.0,1,TRANSFER_FROM_2_TO_1
0,120,6,AM,07:09,10:27,197.7,34898.4,4,3270 -> 5868 -> 1712 -> 5866
0,120,6,PM,18:13,20:03,110.7,13772.816,2,712 -> 2079
0,120,6,PM,20:04,22:33,148.1,31440.0,1,3610
0,121,5,PM,19:25,19:52,27.1,17982.0,2,8021 -> 8016
0,122,8,AM,07:14,08:21,66.3,35122.0,2,1664 -> 731
0,122,8,AM,09:03,10:03,60.0,36155.0,1,912
0,124,6,AM,06:28,09:26,178.6,28296.0,2,2884 -> 1651
0,124,6,PM,16:17,19:24,187.3,34584.0,2,3824 -> 3832
0,125,6,AM,07:24,11:21,236.9,35632.0,2,1730 -> 5851
0,125,6,PM,20:31,21:35,63.4,7650.400000000001,1,838
0,127,7,AM,07:39,08:27,47.1,19720.0,1,3851
0,127,9,PM,18:45,19:29,43.9,25636.0,2,7613 -> 7641
0,128,1,PM,20:35,21:58,83.5,31093.3,3,595 -> 617 -> 1523
0,130,11,PM,17:42,18:31,49.5,17982.0,2,342 -> 6035
0,131,6,AM,06:50,10:49,239.3,22636.800000000003,2,3826 -> 3829
0,387,8,AM,07:41,10:32,170.3,33675.799999999996,2,850 -> 894
0,387,8,INTER-FACTORY,10:32,13:51,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,387,2,INTER-FACTORY,13:51,17:51,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,388,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,388,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,391,2,AM,06:48,12:38,350.1,34089.0,1,926
0,391,11,PM,16:24,19:22,178.6,32076.0,2,6054 -> 6066
0,400,2,AM,07:33,10:07,154.0,32023.0,2,352 -> 1935
0,400,8,INTER-FACTORY,10:07,13:26,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,400,2,INTER-FACTORY,13:26,17:27,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,402,8,INTER-FACTORY,00:00,03:19,199.0,39700.0,1,TRANSFER_FROM_8_TO_1
0,402,2,INTER-FACTORY,03:19,07:19,240.6,39700.0,1,TRANSFER_FROM_2_TO_1
0,403,2,PM,19:03,22:39,216.4,29957.0,2,161 -> 186_onfly_part4
0,603,0,AM,08:11,09:02,50.7,8381.0,2,1021 -> 1346
0,603,0,INTER-FACTORY,09:02,09:02,0.0,31099.699999999953,1,TRANSFER_FROM_0_TO_3
0,821,11,PM,17:58,20:42,163.8,32076.0,2,4083 -> 9621
0,822,0,PM,17:41,21:08,207.7,33869.1,3,2340 -> 2247 -> 2527
0,823,8,AM,07:01,08:05,64.8,32022.999999999996,1,1665
0,824,2,AM,07:11,10:55,223.2,30989.999999999996,1,560
0,824,2,PM,19:03,00:31,328.1,35845.1,4,142 -> 6 -> 2 -> 186_onfly_part3
0,825,6,AM,08:35,11:38,182.7,32278.4,2,2928 -> 1741
0,825,6,PM,18:54,19:12,18.5,4716.0,1,5605
0,825,6,PM,20:18,23:10,172.4,31440.0,1,1727
0,826,11,AM,07:23,10:30,186.8,34311.6,3,5472 -> 3106 -> 6006
0,826,11,PM,18:21,18:57,36.0,25272.0,2,6057 -> 4075
0,826,11,PM,21:53,01:22,209.3,31298.4,3,6083 -> 154 -> 5026
0,827,11,PM,18:08,20:00,112.2,34311.6,4,4050 -> 84 -> 6049 -> 6048
0,827,10,PM,20:53,21:13,20.2,32270.399999999998,1,1597
0,828,0,PM,19:43,20:31,48.0,29481.4,2,993 -> 1000
0,829,8,AM,07:54,09:01,66.7,32023.0,2,856 -> 1655
0,829,2,PM,17:37,19:53,136.7,36671.5,4,1570 -> 396 -> 296 -> 290_onfly_part1
0,830,10,AM,07:41,09:13,92.5,20995.199999999997,2,6052 -> 5194
0,830,5,PM,17:30,23:00,329.9,34214.399999999994,3,4731 -> 3103 -> 2046
0,832,7,AM,06:47,09:36,168.9,34707.2,2,7122 -> 5588
